response,contrast,estimate,SE,df,t.ratio,p.value
plant_height,n0 s0 - n100 s0,6.067633079847908,3.9437702128316,46,1.5385361601713068,0.9713043600441489
plant_height,n0 s0 - n150 s0,5.411153358681875,3.893629102270235,46,1.389745457657183,0.9884597279845941
plant_height,n0 s0 - n200 s0,2.6926330798479072,3.9437702128315992,46,0.6827560771890449,0.9999972334506754
plant_height,n0 s0 - n0 s15,4.853786438529786,4.049208700022591,46,1.1986999925448907,0.9973759125249473
plant_height,n0 s0 - n100 s15,2.9018060836501975,3.949168942549852,46,0.7347890469777153,0.9999926749768475
plant_height,n0 s0 - n150 s15,6.406479721166034,3.891804676194779,46,1.646146262260516,0.9501914434394629
plant_height,n0 s0 - n200 s15,7.442633079847905,3.943770212831599,46,1.887187305090006,0.8683736933611436
plant_height,n0 s0 - n0 s25,4.94263307984791,3.9437702128315992,46,1.2532761325105537,0.9958265998687548
plant_height,n0 s0 - n100 s25,5.406479721166035,3.8918046761947793,46,1.3891960596676791,0.9885025972670698
plant_height,n0 s0 - n150 s25,4.861153358681877,3.8936291022702356,46,1.2484890653420258,0.9959874198543444
plant_height,n0 s0 - n200 s25,5.7241128010139395,4.043943527196704,46,1.4154779270574886,0.9863049531342956
plant_height,n0 s0 - n0 s35,0.41115335868187586,3.8936291022702356,46,0.10559643661029425,1
plant_height,n0 s0 - n100 s35,6.906479721166033,3.891804676194779,46,1.7746213635569346,0.9129037777345882
plant_height,n0 s0 - n150 s35,7.278786438529787,4.04920870002259,46,1.7975824359186967,0.9047322853897679
plant_height,n0 s0 - n200 s35,5.05378643852978,4.04920870002259,46,1.2480923590087083,0.9960005128533347
plant_height,n100 s0 - n150 s0,-0.6564797211660326,3.8918046761947784,46,-0.16868259735170144,1
plant_height,n100 s0 - n200 s0,-3.375000000000001,3.865559947881863,46,-0.8730947250861638,0.9999333109125131
plant_height,n100 s0 - n0 s15,-1.2138466413181221,3.8936291022702356,46,-0.3117519952299441,0.9999999999581871
plant_height,n100 s0 - n100 s15,-3.1658269961977106,3.9545603019783155,46,-0.8005509473743435,0.9999777145471929
plant_height,n100 s0 - n150 s15,0.33884664131812564,3.893629102270236,46,0.08702591654673945,1
plant_height,n100 s0 - n200 s15,1.3749999999999978,3.865559947881862,46,0.35570525836843653,0.9999999997130785
plant_height,n100 s0 - n0 s25,-1.1249999999999982,3.865559947881862,46,-0.2910315750287208,0.9999999999848161
plant_height,n100 s0 - n100 s25,-0.6611533586818725,3.893629102270235,46,-0.16980388766263788,1
plant_height,n100 s0 - n150 s25,-1.2064797211660319,3.8918046761947793,46,-0.3100052087777617,0.9999999999614899
plant_height,n100 s0 - n200 s25,-0.3435202788339691,3.891804676194779,46,-0.08826760524113632,1
plant_height,n100 s0 - n0 s35,-5.656479721166032,3.8918046761947784,46,-1.4534336103158878,0.9825609715034205
plant_height,n100 s0 - n100 s35,0.838846641318125,3.8936291022702356,46,0.2154408186514282,1
plant_height,n100 s0 - n150 s35,1.2111533586818792,3.8936291022702356,46,0.31106027997779734,0.9999999999595253
plant_height,n100 s0 - n200 s35,-1.0138466413181262,3.8936291022702356,46,-0.2603860343880696,0.9999999999971687
plant_height,n150 s0 - n200 s0,-2.718520278833968,3.8918046761947784,46,-0.6985243363991247,0.9999962485009883
plant_height,n150 s0 - n0 s15,-0.5573669201520894,3.943770212831599,46,-0.14132844716424386,1
plant_height,n150 s0 - n100 s15,-2.509347275031678,3.9837852609991784,46,-0.6298901950358402,0.9999990672900205
plant_height,n150 s0 - n150 s15,0.9953263624841582,3.8954526738801345,46,0.255509807411611,0.9999999999978941
plant_height,n150 s0 - n200 s15,2.0314797211660305,3.891804676194779,46,0.5219891259168522,0.9999999305622745
plant_height,n150 s0 - n0 s25,-0.4685202788339655,3.8918046761947793,46,-0.12038638056524005,1
plant_height,n150 s0 - n100 s25,-0.00467363751583999,3.895452673880135,46,-0.00119976749998216,1
plant_height,n150 s0 - n150 s25,-0.5499999999999994,3.8655599478818616,46,-0.1422821033473747,1
plant_height,n150 s0 - n200 s25,0.3129594423320634,3.9694978799088583,46,0.07884106549497619,1
plant_height,n150 s0 - n0 s35,-4.999999999999999,3.8655599478818616,46,-1.2934736667943167,0.9942536118457002
plant_height,n150 s0 - n100 s35,1.4953263624841573,3.8954526738801354,46,0.3838645948674075,0.9999999991338289
plant_height,n150 s0 - n150 s35,1.8676330798479117,3.9437702128315983,46,0.47356539023782646,0.9999999824196298
plant_height,n150 s0 - n200 s35,-0.3573669201520939,3.943770212831599,46,-0.09061555335788873,1
plant_height,n200 s0 - n0 s15,2.1611533586818794,3.893629102270235,46,0.5550485939767064,0.9999998363210931
plant_height,n200 s0 - n100 s15,0.2091730038022903,3.9545603019783155,46,0.05289412420835991,1
plant_height,n200 s0 - n150 s15,3.7138466413181264,3.893629102270235,46,0.9538265057533898,0.9998032470751286
plant_height,n200 s0 - n200 s15,4.749999999999999,3.865559947881862,46,1.2287999834546006,0.9965957757583344
plant_height,n200 s0 - n0 s25,2.250000000000003,3.8655599478818625,46,0.5820631500574432,0.9999996838885844
plant_height,n200 s0 - n100 s25,2.713846641318128,3.893629102270235,46,0.6969967015440124,0.9999963562150824
plant_height,n200 s0 - n150 s25,2.168520278833969,3.8918046761947793,46,0.5572017249730643,0.9999998272730983
plant_height,n200 s0 - n200 s25,3.031479721166032,3.8918046761947784,46,0.7789393285096899,0.9999843309292902
plant_height,n200 s0 - n0 s35,-2.28147972116603,3.891804676194779,46,-0.5862266765650613,0.9999996512431764
plant_height,n200 s0 - n100 s35,4.213846641318126,3.8936291022702356,46,1.0822414078580784,0.9991422734147941
plant_height,n200 s0 - n150 s35,4.58615335868188,3.8936291022702356,46,1.1778608691844477,0.9978229509201962
plant_height,n200 s0 - n200 s35,2.361153358681875,3.893629102270235,46,0.6064145548185809,0.9999994446566756
plant_height,n0 s15 - n100 s15,-1.9519803548795884,4.0667100437922,46,-0.4799900494158099,0.9999999787179787
plant_height,n0 s15 - n150 s15,1.5526932826362476,3.9766479869580618,46,0.39045278529266575,0.9999999988923081
plant_height,n0 s15 - n200 s15,2.5888466413181193,3.893629102270235,46,0.6648929760178379,0.999998061363992
plant_height,n0 s15 - n0 s25,0.08884664131812414,3.8936291022702356,46,0.02281846549439464,1
plant_height,n0 s15 - n100 s25,0.5526932826362494,3.976647986958062,46,0.13898471387180344,1
plant_height,n0 s15 - n150 s25,0.007366920152090062,3.943770212831599,46,0.001867989196764247,1
plant_height,n0 s15 - n200 s25,0.8703263624841522,3.895452673880134,46,0.22342111054766026,1
plant_height,n0 s15 - n0 s35,-4.4426330798479094,3.943770212831599,46,-1.126493897994663,0.9986590104588726
plant_height,n0 s15 - n100 s35,2.0526932826362474,3.976647986958062,46,0.516186821003097,0.9999999406434923
plant_height,n0 s15 - n150 s35,2.4250000000000016,3.8655599478818616,46,0.6273347283952441,0.99999911748581
plant_height,n0 s15 - n200 s35,0.19999999999999574,3.8655599478818616,46,0.05173894667177157,1
plant_height,n100 s15 - n150 s15,3.504673637515836,3.8954526738801345,46,0.8996832796905587,0.9999033291337589
plant_height,n100 s15 - n200 s15,4.540826996197708,3.9545603019783155,46,1.1482507913524813,0.9983463790894487
plant_height,n100 s15 - n0 s25,2.0408269961977124,3.9545603019783155,46,0.5160692568467763,0.9999999408330711
plant_height,n100 s15 - n100 s25,2.504673637515838,3.8954526738801345,46,0.6429737047789656,0.9999987670383027
plant_height,n100 s15 - n150 s25,1.9593472750316785,3.983785260999179,46,0.4918305447368044,0.999999969955975
plant_height,n100 s15 - n200 s25,2.8223067173637415,3.9766479869580618,46,0.709720027173606,0.9999953666600665
plant_height,n100 s15 - n0 s35,-2.490652724968321,3.983785260999178,46,-0.625197534955395,0.9999991575593349
plant_height,n100 s15 - n100 s35,4.004673637515836,3.895452673880134,46,1.0280380671463556,0.9995234666217558
plant_height,n100 s15 - n150 s35,4.37698035487959,4.066710043792199,46,1.0762951643333944,0.9991940336570295
plant_height,n100 s15 - n200 s35,2.1519803548795844,4.0667100437922,46,0.5291698527079808,0.9999999159132067
plant_height,n150 s15 - n200 s15,1.0361533586818723,3.8936291022702347,46,0.2661150642411545,0.9999999999960433
plant_height,n150 s15 - n0 s25,-1.4638466413181237,3.8936291022702347,46,-0.37595944628228906,0.9999999993590762
plant_height,n150 s15 - n100 s25,-0.999999999999998,3.8655599478818616,46,-0.25869473335886284,0.9999999999974556
plant_height,n150 s15 - n150 s25,-1.5453263624841573,3.8954526738801345,46,-0.39670007361298726,0.9999999986070434
plant_height,n150 s15 - n200 s25,-0.6823669201520945,3.943770212831599,46,-0.17302400579321786,1
plant_height,n150 s15 - n0 s35,-5.995326362484157,3.895452673880134,46,-1.539057681969579,0.9712217315657532
plant_height,n150 s15 - n100 s35,0.49999999999999967,3.8655599478818616,46,0.1293473666794316,1
plant_height,n150 s15 - n150 s35,0.8723067173637536,3.976647986958061,46,0.2193572879029268,1
plant_height,n150 s15 - n200 s35,-1.3526932826362512,3.9766479869580618,46,-0.34015917100849413,0.9999999998503253
plant_height,n200 s15 - n0 s25,-2.4999999999999956,3.865559947881862,46,-0.6467368333971573,0.9999986656701787
plant_height,n200 s15 - n100 s25,-2.0361533586818705,3.8936291022702356,46,-0.5229448684505318,0.9999999287581971
plant_height,n200 s15 - n150 s25,-2.58147972116603,3.8918046761947784,46,-0.6633117373429126,0.999998122492192
plant_height,n200 s15 - n200 s25,-1.7185202788339669,3.8918046761947784,46,-0.4415741338062871,0.9999999935080208
plant_height,n200 s15 - n0 s35,-7.031479721166028,3.891804676194779,46,-1.806740138881038,0.9013426458825261
plant_height,n200 s15 - n100 s35,-0.536153358681873,3.893629102270236,46,-0.13770016213646571,1
plant_height,n200 s15 - n150 s35,-0.16384664131811877,3.8936291022702347,46,-0.0420807008100966,1
plant_height,n200 s15 - n200 s35,-2.388846641318124,3.8936291022702343,46,-0.6135270151759638,0.999999348576794
plant_height,n0 s25 - n100 s25,0.4638466413181254,3.8936291022702356,46,0.11912964207291163,1
plant_height,n0 s25 - n150 s25,-0.08147972116603386,3.8918046761947793,46,-0.02093623086082029,1
plant_height,n0 s25 - n200 s25,0.7814797211660283,3.8918046761947784,46,0.200801372675805,1
plant_height,n0 s25 - n0 s35,-4.531479721166034,3.8918046761947784,46,-1.1643646323989463,0.998076680344999
plant_height,n0 s25 - n100 s35,1.9638466413181237,3.8936291022702356,46,0.5043743483869779,0.9999999571392585
